Address,Source Code,Positive,,,,
0x2ecf8d1f46dd3c2098de9352683444a0b69eb229,Yes,TRUE,,,Number,Percentage
0x752406cbfd32593fc422da69cdd702d1eaadc121,Yes,TRUE,,True Positives,4,100
0x791d0463b8813b827807a36852e4778be01b704e,Yes,TRUE,,False Positives,0,0
0xf5b1d75f4415f853fef2466a5ab8e412d593dd44,Yes,TRUE,,,,
0xf8f7d8a10f763e90e2cbefa753e411e8ac2e8e61,No,,,Total,5,
,,,,Total with source,4,
